Log began at 2020-10-16-15-33-92-922
=> process: 2020-10-16-17-08-88-888; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-17-08-93-935; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-17-08-94-940; url:/users; method:GET query params:null; body:null
=> process: 2020-10-16-17-08-06-066; url:/boards/a6446302-909d-4968-b712-5b638cf3d7a0/tasks; method:POST query params:null; body: title:Autotest task order:0 description:Lorem ipsum userId:null boardId:null columnId:null
=> process: 2020-10-16-17-08-12-122; url:/boards/a6446302-909d-4968-b712-5b638cf3d7a0/tasks; method:GET query params:null; body:null
=> process: 2020-10-16-17-08-14-140; url:/boards; method:GET query params:null; body:null
=> process: 2020-10-16-17-08-20-204; url:/users; method:POST query params:null; body: name:TEST_USER login:test_user password:T35t_P@55w0rd
=> process: 2020-10-16-17-08-22-221; url:/boards/a6446302-909d-4968-b712-5b638cf3d7a0/tasks; method:GET query params:null; body:null
=> process: 2020-10-16-17-08-24-245; url:/boards/a6446302-909d-4968-b712-5b638cf3d7a0/tasks/b13f2cd6-e466-4175-9ed4-e1cb991b2221; method:GET query params:null; body:null
=> process: 2020-10-16-17-08-25-250; url:/users/4ba24c09-a616-44cb-8a50-3188e0786569; method:GET query params:null; body:null
=> process: 2020-10-16-17-08-26-267; url:/boards; method:GET query params:null; body:null
=> process: 2020-10-16-17-08-28-289; url:/users/4ba24c09-a616-44cb-8a50-3188e0786569; method:DELETE query params:null; body:null
=> process: 2020-10-16-17-08-29-292; url:/boards/a6446302-909d-4968-b712-5b638cf3d7a0/tasks; method:POST query params:null; body: title:Autotest task order:0 description:Lorem ipsum userId:null boardId:null columnId:null
=> process: 2020-10-16-17-08-29-298; url:/boards/a6446302-909d-4968-b712-5b638cf3d7a0; method:GET query params:null; body:null
=> process: 2020-10-16-17-08-31-314; url:/users; method:POST query params:null; body: name:TEST_USER login:test_user password:T35t_P@55w0rd
=> process: 2020-10-16-17-08-33-332; url:/boards/a6446302-909d-4968-b712-5b638cf3d7a0/tasks/7aed27b8-8d89-4d99-8c09-cd9652fffb38; method:DELETE query params:null; body:null
=> process: 2020-10-16-17-08-34-341; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
