Log began at 2020-10-16-23-02-45-455
=> process: 2020-10-16-23-02-03-037; url:/users; method:GET query params:null; body:null
=> process: 2020-10-16-23-02-08-081; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-23-02-12-125; url:/users; method:POST query params:null; body: name:TEST_USER login:test_user password:T35t_P@55w0rd
=> process: 2020-10-16-23-02-14-141; url:/boards/eab61287-95c5-4be6-bd54-5de07fd5391c/tasks; method:POST query params:null; body: title:Autotest task order:0 description:Lorem ipsum userId:null boardId:null columnId:null
=> process: 2020-10-16-23-02-14-146; url:/users/ca399bfd-47d4-4287-a3a3-dae05a0b54d2; method:GET query params:null; body:null
=> process: 2020-10-16-23-02-15-153; url:/boards/eab61287-95c5-4be6-bd54-5de07fd5391c/tasks; method:GET query params:null; body:null
=> process: 2020-10-16-23-02-16-165; url:/boards/eab61287-95c5-4be6-bd54-5de07fd5391c/tasks; method:GET query params:null; body:null
=> process: 2020-10-16-23-02-17-175; url:/boards/eab61287-95c5-4be6-bd54-5de07fd5391c/tasks/7e15bfa5-feaa-497e-8507-83bbe349aee4; method:GET query params:null; body:null
=> process: 2020-10-16-23-02-18-185; url:/boards/eab61287-95c5-4be6-bd54-5de07fd5391c/tasks; method:POST query params:null; body: title:Autotest task order:0 description:Lorem ipsum userId:null boardId:null columnId:null
=> process: 2020-10-16-23-02-19-192; url:/boards/eab61287-95c5-4be6-bd54-5de07fd5391c/tasks/e08de5ab-f7bf-49f0-8786-e5869d2fb6e3; method:DELETE query params:null; body:null
=> process: 2020-10-16-23-02-19-199; url:/boards/eab61287-95c5-4be6-bd54-5de07fd5391c/tasks; method:POST query params:null; body: title:Autotest task order:0 description:Lorem ipsum userId:null boardId:null columnId:null
=> process: 2020-10-16-23-02-20-204; url:/boards/eab61287-95c5-4be6-bd54-5de07fd5391c/tasks/c9684d0d-1ef3-4037-b504-b64b76ead3a0; method:PUT query params:null; body: id:c9684d0d-1ef3-4037-b504-b64b76ead3a0 title:Autotest updated task order:0 description:Lorem ipsum userId:null boardId:eab61287-95c5-4be6-bd54-5de07fd5391c columnId:null
=> process: 2020-10-16-23-02-20-209; url:/boards/eab61287-95c5-4be6-bd54-5de07fd5391c/tasks/c9684d0d-1ef3-4037-b504-b64b76ead3a0; method:GET query params:null; body:null
